virus_genus,locus_name,MinimumAge,tax_class
meta,ehbv-meta.1-sauria-con,279.83150000000023,Aves
meta,ehbv-meta.1-sauria-con,279.83150000000023,Reptile
circo,ecv-circo.150-Anura,209.70000000000027,Amphibia
herpeto,ehbv-herpeto.5-testudines,200.76100000000025,Reptile
proto,epv-proto.121-Cavia,160.00000000000023,Mammalia
circo,ecv-circo.102-Pelomedusidae-Podocnemididae,117.90000000000026,Reptile
Carbovirus,EBLG-Carbovirus.2-Boreoeutheria,99.18870000000021,Mammalia
Orthobornavirus,EBLN-Orthobornavirus.27-Boreoeutheria,99.18870000000021,Mammalia
Cultervirus,EBLL-Cultervirus.10-Chiroptera,94.00000000000023,Mammalia
Cultervirus,EBLL-Cultervirus.3-Vespertilionidae,94.00000000000023,Mammalia
Carbovirus,EBLN-Carbovirus.4-Laurasiatheria,94.00000000000023,Mammalia
Carbovirus,EBLN-Carbovirus.8-Boreoeutheria,94.00000000000023,Mammalia
Carbovirus,EBLN-Carbovirus.9-Boreoeutheria,94.00000000000023,Mammalia
Cultervirus,EBLN-Cultervirus.44-Myotis,94.00000000000023,Mammalia
Cultervirus,EBLN-Cultervirus.81-OtoGar,94.00000000000023,Mammalia
Orthobornavirus,EBLN-Orthobornavirus.24-Laurasiatheria,94.00000000000023,Mammalia
dependo,epv-dependo.226-Erethizon,94.00000000000023,Mammalia
Cultervirus,EBLL-Cultervirus.8-Chiroptera,86.29608000000025,Mammalia
circo,ecv-circo.192-Serpentes,85.77443000000022,Reptile
avi,ehbv-avi.1-neoaves-con,84.2028000000002,Aves
dependo,epv-dependo.20-laurasiatheria,81.02605000000023,Mammalia
dependo,epv-dependo.22-laurasiatheria,81.02605000000023,Mammalia
parvovirinae,epv-parvovirinae.20-laurasiatheria,81.02605000000023,Mammalia
parvovirinae,epv-parvovirinae.22-laurasiatheria,81.02605000000023,Mammalia
Carbovirus,EBLN-Carbovirus.31-Afrotheria,79.82000000000022,Mammalia
Carbovirus,EBLN-Carbovirus.40-Afrotheria,79.82000000000022,Mammalia
Carbovirus,EBLN-Carbovirus.41-Afrotheria,79.82000000000022,Mammalia
Carbovirus,EBLN-Carbovirus.45-Afrotheria,79.82000000000022,Mammalia
Carbovirus,EBLN-Carbovirus.46-Afrotheria,79.82000000000022,Mammalia
Carbovirus,EBLN-Carbovirus.48-Afrotheria,79.82000000000022,Mammalia
Carbovirus,EBLN-Carbovirus.49-Afrotheria,79.82000000000022,Mammalia
Carbovirus,EBLN-Carbovirus.50-Afrotheria,79.82000000000022,Mammalia
Carbovirus,EBLN-Carbovirus.55-Afrotheria,79.82000000000022,Mammalia
Carbovirus,EBLN-Carbovirus.66-Afrotheria,79.82000000000022,Mammalia
Orthobornavirus,EBLN-Orthobornavirus.47-Afrotheria,79.82000000000022,Mammalia
Orthobornavirus,EBLN-Orthobornavirus.52-Afrotheria,79.82000000000022,Mammalia
Orthobornavirus,EBLN-Orthobornavirus.5-Primates,79.3647000000002,Mammalia
Orthobornavirus,EBLN-Orthobornavirus.76-GalVar,79.3647000000002,Mammalia
Cultervirus,EBLL-Cultervirus.4-Marsupialia,78.18680000000023,Mammalia
Orthobornavirus,EBLL-Orthobornavirus.5-Marsupialia,78.18680000000023,Mammalia
Orthobornavirus,EBLN-Orthobornavirus.74-PhaCin,78.18680000000023,Mammalia
proto,epv-proto.186-Australidelphia,78.18680000000023,Mammalia
proto,epv-proto.195-Gymnobelideus,78.18680000000023,Mammalia
Orthobornavirus,EBLN-Orthobornavirus.109-Balaenoptera_bonaerensis,76.00000000000023,Mammalia
Carbovirus,EBLN-Carbovirus.65-Afrotheria,75.1000000000002,Mammalia
Carbovirus,EBLN-Carbovirus.5-Primates,73.7549200000002,Mammalia
Orthobornavirus,EBLN-Orthobornavirus.2-Primates,73.7549200000002,Mammalia
Orthobornavirus,EBLN-Orthobornavirus.8-Primates,73.7549200000002,Mammalia
avi,ehbv-avi.95-Nannopterum_brasilianus,72.56307000000021,Aves
Cultervirus,EBLL-Cultervirus.0-Muridae,70.20250000000021,Mammalia
dependo,epv-dependo.46-gliridae,70.20250000000021,Mammalia
avi,ehbv-avi.8-australiaves,66.04663000000016,Aves
avi,ehbv-avi.13-paleognathae-con,65.07832000000019,Aves
avi,ehbv-avi.21-paleognathae-con,65.07832000000019,Aves
dependo,epv-dependo.370-pelecanus,63.96385000000015,Aves
Carbovirus,EBLL-Carbovirus.6-Marsupialia,63.00000000000023,Mammalia
